"ft.idx","mz.precursor","rt","tissue03","tissue04","tissue05","tissue06","tissue07","tissue08","mz.product","int.product"
24,112.085744676768,643.7055,9010,10197,11548,12645,13038,14310,67.0384350102424,1132.5
24,112.085744676768,643.7055,9010,10197,11548,12645,13038,14310,68.0460886246322,14063.5
24,112.085744676768,643.7055,9010,10197,11548,12645,13038,14310,82.0487633541906,2144.5
24,112.085744676768,643.7055,9010,10197,11548,12645,13038,14310,83.0557912934008,3178
24,112.085744676768,643.7055,9010,10197,11548,12645,13038,14310,95.0560596529905,20869.5
25,113.033974426963,266.325,50915,62768,81447,76556,65330,59881,40.0150806184198,2104
25,113.033974426963,266.325,50915,62768,81447,76556,65330,59881,46.9914571260323,352
25,113.033974426963,266.325,50915,62768,81447,76556,65330,59881,52.9990667323721,591
25,113.033974426963,266.325,50915,62768,81447,76556,65330,59881,68.0091060332988,1422
25,113.033974426963,266.325,50915,62768,81447,76556,65330,59881,70.0251044293806,4913.5
25,113.033974426963,266.325,50915,62768,81447,76556,65330,59881,96.0035738929538,5242.5
25,113.033974426963,266.325,50915,62768,81447,76556,65330,59881,113.029657404639,723
26,113.069728949625,695.2115,7686,8242,7357,8459,8208,7471,70.0615452021464,3354
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,43.0263805501729,15222
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,44.0464742341894,142513
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,45.0500541340448,3135
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,65.0096013270313,1039
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,72.0408840794143,1209.5
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,86.0664974449759,874.5
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,92.0199269042173,639
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,114.059576241524,1805.5
27,114.06480142003,276.523,231899,212064,193967,221483,241239,269860,114.062754749104,2295.5
28,114.064860811299,609.027,14410,14477,15583,13387,15644,15689,44.0464635277352,2376
29,115.067542804548,277.543,14260,11419,9126,15926,16112,12646,43.0263785457078,15222
29,115.067542804548,277.543,14260,11419,9126,15926,16112,12646,44.046446525918,147131
29,115.067542804548,277.543,14260,11419,9126,15926,16112,12646,72.0399914641518,1272
29,115.067542804548,277.543,14260,11419,9126,15926,16112,12646,86.066624459273,886
29,115.067542804548,277.543,14260,11419,9126,15926,16112,12646,114.061116734884,2174
30,115.08508978985,694.7,3560,3474,3954,4163,3732,3889,70.0615518514013,3482
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,28.0157587311091,6626
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,29.0112105066131,3773.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,30.0317677739857,2135.5
31,116.069832244784,538.6485,372676,367493,372913,358579,322360,334030,31.9868228666582,862
